URL,Nome,Website,Descrição,Qtde. Colaboradores,Avaliação,Pior Avaliação,Melhor Avaliação,Qtde. Avaliações,Qtde. Resenhas,Indústria,Equilíbrio trabalho/vida pessoal,Reconhecimento e recompensa,Salário,Qualidade de gestão,Oportunidades de carreira,Dificuldade das entrevistas,Taxa de recomendação,Faixa salarial,Nº de horas trabalhadas em média,Taxa de feedback das entrevistas,Investimento de tempo em entrevistas,Modo de Trabalho,Faixa salarial (min),Faixa salarial (max),Média salarial,Nº de minutos trabalhados
https://pt.teamlyzer.com/companies/deloitte-consultores,Deloitte Portugal,www.deloitte.com/pt/careers,"Na Deloitte, nunca trabalharás sozinho. Vais integrar grandes projetos e fazer parte do nosso Global Solutions Center e colaborar com equipas da rede global Deloitte. Terás sempre alguém para te desafiar a crescer, enquanto exploras soluções tecnológicas.





",5001-10000,2.1,1.0,5.0,365.0,211.0,Consultoria & Outsourcing IT,35,45,43,43,56,40,50.0,1396 - 1596,08:51,70,158,Híbrido,1396,1596,1496.0,531
https://pt.teamlyzer.com/companies/capgemini-engineering,Capgemini Engineering,https://bit.ly/capgeminiengineeringpt,"A Capgemini Engineering é a empresa líder em Investigação e Desenvolvimento (I&D).

Com a colaboração de mais de 52.000 engenheiros e cientistas de todo mundo, utilizamos a Investigação e Desenvolvimento para ajudar os nossos clientes a criar produtos, operações e serviços inteligentes, contribuindo para acelerar a sua jornada rumo à Indústria Inteligente.",+10000,1.9,1.0,5.0,643.0,407.0,Consultoria & Outsourcing IT,56,36,34,39,40,38,35.0,1242 - 1442,08:00,57,86,Depende do projeto / equipa,1242,1442,1342.0,480
https://pt.teamlyzer.com/companies/prime-it,PrimeIT,http://www.primeit.pt,"O pilar da PrimeIT são as pessoas que nela trabalham e o valor que criamos para os nossos clientes. Por essa razão temos um processo de recrutamento rigoroso, que nos permite ter uma equipa de qualidade a representar-nos diariamente.",501-1000,1.5,1.0,5.0,730.0,391.0,Consultoria & Outsourcing IT,52,31,30,34,31,32,21.0,1256 - 1456,08:12,26,65,Híbrido,1256,1456,1356.0,492
https://pt.teamlyzer.com/companies/accenture-portugal,Accenture Portugal,https://www.accenture.com/pt-pt,"A Accenture é uma organização global de serviços de consultoria de gestão, tecnologias de informação e outsourcing, com mais de 336 mil profissionais a servir clientes em mais de 120 países. Através da combinação de uma experiência ímpar, um conhecimento profundo dos vários setores de atividade e funções de negócio...",+10000,1.9,1.0,5.0,427.0,273.0,Consultoria & Outsourcing IT,40,41,39,41,49,31,45.0,1502 - 1702,08:52,68,78,Full remote,1502,1702,1602.0,532
https://pt.teamlyzer.com/companies/talkdesk,Talkdesk,http://www.talkdesk.com,"A Talkdesk é uma plataforma de software que permite que qualquer empresa crie o seu call-center na web em menos de 5 minutos, eliminando os tradicionais custos e burocracias associados à criação deste tipo de plataformas de apoio ao cliente.",1001-5000,2.3,1.0,5.0,491.0,243.0,Software House & Internet,68,42,45,39,47,48,56.0,2318 - 2518,07:48,78,189,Full remote,2318,2518,2418.0,468
https://pt.teamlyzer.com/companies/farfetch,Farfetch,http://www.farfetch.com,"José Neves lançou a Farfetch em 2008, com tecnologia desenvolvida em Leça do Balio. Com sede em Londres, o site de comércio online de produtos de luxo está avaliado em 894 milhões de euros.",1001-5000,2.5,1.0,5.0,756.0,353.0,Software House & Internet,67,46,49,38,45,47,50.0,2356 - 2556,07:51,75,149,Híbrido,2356,2556,2456.0,471
https://pt.teamlyzer.com/companies/critical-techworks,Critical Techworks,https://www.criticaltechworks.com,"Ao combinar tecnologia e talento, estamos a desenvolver a próxima geração de sistemas de software para os veículos de condução futuros do grupo BMW. Guiados pelos princípios de Agile Development, temos a liberdade de pensar, criando mudança e influenciando a forma como as coisas são feitas.",1001-5000,2.6,1.0,5.0,711.0,321.0,Software House & Internet,65,48,47,48,53,43,65.0,2194 - 2394,07:51,76,106,Híbrido,2194,2394,2294.0,471
https://pt.teamlyzer.com/companies/devoteam-portugal,Devoteam Portugal,https://pt.devoteam.com/,"Consultora líder focada em estratégia digital, plataformas tecnológicas e cibersegurança. Combinando criatividade, tecnologia e data insights, a Devoteam ajuda os seus clientes a transformar os seus negócios e a desbloquear o futuro. Temos 25 anos de experiência e 8,500 colaboradores em toda a Europa e Médio Oriente.",1001-5000,2.9,1.0,5.0,505.0,274.0,Consultoria & Outsourcing IT,64,51,46,50,48,37,62.0,1608 - 1808,08:01,39,85,Depende do projeto / equipa,1608,1808,1708.0,481
https://pt.teamlyzer.com/companies/blip,Blip.pt,https://www.blip.pt/,"Sediada no Porto, a Blip é uma empresa de engenharia de software, parte do grupo Flutter Entertainment. Com operações em mais de 100 mercados, receitas anuais de mais de £ 6 biliões e mais de 17 milhões de clientes, somos um player global na entrega de sites e aplicações seguros e divertidos de entertenimento online. 

",501-1000,3.0,1.0,5.0,424.0,145.0,Software House & Internet,72,59,58,56,57,54,90.0,2290 - 2490,07:45,69,194,Escolha do trabalhador,2290,2490,2390.0,465
https://pt.teamlyzer.com/companies/microsoft-portugal,Microsoft Portugal,http://www.microsoft.com,"A principal missão da Microsoft, e respetivos valores, é ajudar as pessoas e as empresas a perceberem o seu verdadeiro potencial em todo o mundo. Fabrica, licencia, apoia e vende softwares de computador, produtos eletrónicos, computadores e serviços pessoais.",+10000,3.0,1.0,5.0,334.0,64.0,Tecnologia da Informação,63,63,71,55,69,60,71.0,2896 - 3096,07:57,72,239,Híbrido,2896,3096,2996.0,477
